1,,4047
2,',1
3,'Crash,1
4,'Cus,1
5,'Despicable,1
6,'Tis,1
7,'Visualize',1
8,'accreditation,1
9,'achieve',1
10,'big,1
11,'by,1
12,'cause,9
13,'he',1
14,'invoke',1
15,'m,1
16,'muy,1
17,'nest',1
18,'no,1
19,'pastor',1
20,'penet,1
21,'propaganda,1
22,'s,5
23,'splain,1
24,'struggle',1
25,'till,1
26,'to,1
27,'weak',1
28,A,228
29,A's,2
30,AB,1
31,ABBA,1
32,AD,2
33,AIDS,42
34,AIDS's,1
35,ALL,1
36,ALS,1
37,AM,2
38,ATM,2
39,Aat,1
40,Aba,1
41,Abbdulah,1
42,Abdulaziz,4
43,Abdulla,1
44,Abdullah,24
45,Abdulmajeed,1
46,Abdulmajid,1
47,Abdulrahman,6
48,Abdulrhman,3
49,Abeer,2
50,Abha,1
51,Abood,2
52,Abood's,1
53,Abortion,5
54,Abortions,1
55,Aboud,1
56,Aboud's,1
57,About,98
58,Above,2
59,Abraham,2
60,Absolute,1
61,Absolutely,1
62,Abu,3
63,AbuDhabi,1
64,Abudallah,2
65,Abuhole,1
66,Abuse,1
67,Academy,2
68,Accept,3
69,Accident,3
70,Accidents,2
71,According,11
72,Account,2
73,Accounting,1
74,Acquaintance,1
75,Act,1
76,ActNNasINaDTshoesactJJasINaDTknife,1
77,Actions,1
78,Active,1
79,Activity,1
80,Actor,2
81,Actual,3
82,Actually,67
83,Adam,3
84,Adams,1
85,Adaptation,1
86,Addicted,1
87,Addiction,2
88,Adha,1
89,Adjectives,1
90,Administration,1
91,Adnan,1
92,AdopSHONE,1
93,Adriana's,1
94,Adrien,3
95,Adult's,1
96,Advantage,1
97,Advertising,2
98,Aesop,1
99,Af,1
100,Afer,1
101,Affect,1
102,Afghanistan,2
103,Afghtanistan,1
104,Africa,42
105,African,18
106,Africanamerican,1
107,After,481
108,Afternoon,2
109,Aga,1
110,Again,1
111,Agatha,2
112,Age,7
113,Ageel,1
114,Agree,1
115,Ah,11
116,AhJJIPRPgoVBPtoTOtheDTevent,1
117,AhNNperfumeNNit'sVBZcomeVBNdown,1
118,Ahhh,1
119,Ahlam,1
120,Ahmed,20
121,Aids,1
122,Air,5
123,Airlines,1
124,Airplane,1
125,Airport,3
126,Akari,1
127,Akemi's,2
128,Akiko,7
129,Akiko's,1
130,Akikos,1
131,Akikosan,1
132,Akram,2
133,AkramNNyouPRPareVBPstupid,1
134,Al,4
135,AlFater,1
136,Alabama,1
137,Aladin,2
138,Alaska,2
139,Alberto,2
140,Alcohol,7
141,Alcoholism,1
142,Alejandra,1
143,Alejandro,6
144,Alene,2
145,Alessandro,1
146,Alex,4
147,AlexJJyouPRPwillMDdie,1
148,Alexander,1
149,Alexandra,2
150,Alexandria,1
151,Alexis,1
152,Alfredo,1
153,Algeria,4
154,Ali,6
155,Ali's,1
156,Alicia,1
157,Alien,2
158,Alienation,2
159,Alkorba,1
160,All,316
161,AllAmericans,1
162,AllJJtheDTmanNNwhoWPdon'tRBhaveVBPmoneyJJwePRPwillMDhaveVBaDTbigJJwedding,1
163,Allah,1
164,Allen,1
165,Alll,2
166,Almost,88
167,Alone,1
168,Along,1
169,Already,3
170,Also,161
171,Alternative,1
172,Although,10
173,Alwaleed's,1
174,Always,41
175,Alzamanan,1
176,Alzheimer's,1
177,Am,1
178,Amazon,2
179,Amber,2
180,Amber's,1
181,Ambitious,1
182,Amd,1
183,America,264
184,AmericaLatin,1
185,American,473
186,American's,4
187,AmericanJJstudentsNNSareVBPgreatJJbecauseINtheyPRPearnVBPaDTlotNNofINmoneyNNandCCtheyPRPpaidVBDtheirPRPtuitionNNandCCtheyPRPhaveVBPaDTlotNNofINresponsibility,1
188,Americans,49
189,Americans',3
190,Americatrees,1
191,Amnesty,1
192,Among,3
193,Amrik,1
194,Amsterdam,1
195,Amy,4
196,An,15
197,Ana,1
198,Anaheim,1
199,Ancient,1
200,And,470
201,Androcles,5
202,Andy,2
203,Andy's,3
204,Anesmia,1
205,Angel,1
206,Angeles,11
207,Angelina,1
208,Angels,1
209,Animal,7
210,Animals,1
211,Anita,1
212,Anka,2
213,Ann,2
214,Anna,3
215,Anne,1
216,Annex,3
217,Annie,4
218,Another,77
219,Answer,3
220,Anthony,7
221,Any,46
222,Anya,1
223,Anybody,7
224,Anyone,14
225,Anyplace,1
226,Anything,9
227,Anywhere,1
228,Apartment,1
229,Apologize,2
230,Aportion,1
231,Appearance,1
232,Apple,8
233,Apprentices,1
234,Aprar,1
235,April,8
236,Aqeel,3
237,Aquinas,3
238,Arab,12
239,Arabai,1
240,Arabia,263
241,Arabia's,2
242,Arabian,6
243,Arabic,95
244,Arabs,2
245,Architect,1
246,Arctic,1
247,Are,108
248,AreJJyouPRPgay,1
249,AreJJyouPRPmarryVBPorCCsingle,1
250,AreJJyouPRPsick,1
251,AreNNPyouPRPwantVBPtoTOseeVBmyPRPmoney,1
252,Area,1
253,Arena,1
254,Areum,2
255,Argentina,5
256,Argentine,2
257,Ariel,8
258,Ariel's,2
259,Arizona,1
260,Arm,1
261,ArmJJisVBZhurt,1
262,Armenia,1
263,Armstrong,1
264,Army,4
265,Army's,1
266,Arny's,1
267,Aroob,1
268,Around,9
269,Arrange,1
270,Arranged,2
271,Arriving,1
272,As,79
273,Asano,2
274,Aseeya,1
275,Ash,1
276,Ashe,1
277,Asher,42
278,Ashere,1
279,Ashley,1
280,Asia,23
281,Asian,29
282,Asians,1
283,Ask,9
284,Asked,2
285,Assad,1
286,Assembly,1
287,Assignment,19
288,Assignments,2
289,At,186
290,Athlete,1
291,Atlantic,1
292,Atmosphere,2
293,Atsushi,2
294,Atsushi's,1
295,Atsuyo,2
296,Attention,1
297,Atticus,1
298,Attitude,1
299,Audience,1
300,August,10
301,Aunt,1
302,Australia,9
303,Austria,1
304,Author,1
305,Automatically,1
306,Automobile,1
307,Avatar,3
308,Ave,1
309,Avenue,2
310,Award,1
311,Away,2
312,Awsome,1
313,Ayako,2
314,Ayman,5
315,Ayuko,6
316,Ayumi,1
317,Azar,3
318,Azid,1
319,Aziz,13
320,Azooz,6
321,Azusa,7
322,B,9
323,BA,1
324,BBQ,2
325,BM,1
326,BMC,1
327,BMW,4
328,BRAzil,1
329,Baba,2
330,Babahe,1
331,Babe,3
332,Baby,2
333,Babysitters,1
334,Bachelor,5
335,Back,4
336,BackJJtoTOtheDTFuture,1
337,Backery,1
338,Bacon,1
339,Bad,5
340,Bader,5
341,Badminton,1
342,Badr,4
343,Bahkeet,1
344,Bahrain,1
345,Balance,2
346,Bali,5
347,Ball,1
348,Ballad,1
349,Bamba,1
350,Banana,1
351,Band,1
352,Bandar,1
353,Bangladesh,2
354,Baptist,1
355,Baptize,1
356,Bar,1
357,Barack,2
358,Barak,1
359,Baranquilla,1
360,Barbato,1
361,Barbeque,1
362,Barber,1
363,Barcelona,1
364,Barranquilla,1
365,Basan,1
366,Base,1
367,Baseball,3
368,Basel,2
369,Bashir,1
370,Basically,6
371,Basil,1
372,Basilic,1
373,Basketball,1
374,Basque,1
375,Bassam,2
376,Battery,1
377,Be,12
378,BeIn,1
379,Beaches,1
380,Beans,1
381,Beard,1
382,Beata,4
383,Beating,1
384,Beatriz,1
385,BeautyJJandCCBeast,1
386,Beavis,1
387,Because,284
388,Becker,1
389,Beckham,1
390,Become,1
391,Becoming,1
392,Becuase,1
393,Bedouin,1
394,Bedouins,1
395,Bedroomtwo,1
396,Beef,2
397,Beethoven,2
398,Beetles,1
399,Before,201
400,Beginning,1
401,Behavior,2
402,Behind,8
403,Beijing,4
404,Being,9
405,Bejing,1
406,BelAir,1
407,Belgan,1
408,Believe,1
409,BelieveJJme,1
410,Ben,1
411,Benjamin,3
412,Benny,1
413,Benz,3
414,Beofre,1
415,Beom,1
416,Berlin,1
417,Berlitz,1
418,Beside,2
419,Besides,3
420,Best,7
421,Beta,5
422,Beta's,1
423,Better,3
424,Between,10
425,Bi,3
426,Bia,1
427,Bibimbab,1
428,Bible,14
429,Bicycle,1
430,Bieber,2
431,Big,24
432,BigJJEasy,1
433,Biggest,1
